Date,Min_RTT,Connection_Loss_Rate,MeanThroughput,Test_Count
05/14,126.0817265,0.070200675,32.77254801,892
05/15,113.9689947,0.059562488,35.67831062,1130
05/16,124.8769226,0.058124553,27.31366156,1318
05/17,118.5844931,0.056467263,31.80190753,1306
05/18,115.6861742,0.053393925,29.79857163,1452
05/19,122.2365559,0.05492084,33.09954916,1333
05/20,118.7510915,0.039340372,37.66731982,1584
05/21,120.108006,0.047807721,22.08337075,1334
05/22,114.926058,0.06000647,27.4340562,1656
05/23,114.2338923,0.069772793,30.75385751,1653
05/24,111.1106302,0.06568743,33.91054556,1536
05/25,116.4177332,0.063371105,31.17409822,1492
05/26,123.933561,0.06486706,25.54388246,1738
05/27,123.8800601,0.061102702,25.94569042,1598
05/28,117.2941504,0.062724906,26.47278428,1855
05/29,112.3940117,0.057459423,32.4276533,2047
05/30,111.0514677,0.062118204,31.69255179,2031
05/31,120.7950142,0.057996881,31.05125869,2047
06/01,126.4833031,0.064597844,31.51449803,1762
06/02,135.2364013,0.068822845,25.94520201,1874
06/03,137.0514498,0.071399356,26.82868949,1615
06/04,114.2431706,0.054181647,31.94586722,2257
06/05,116.1870657,0.062699605,30.29883098,1886
06/06,110.4532439,0.046443887,33.97942895,1923
06/07,82.78460803,0.022735039,40.54940417,1246
06/08,82.50910241,0.019421391,38.32281819,1954
06/09,76.86954672,0.023917735,36.7402217,1006
06/10,81.16480446,0.02023332,44.64419655,1616
06/11,81.17193673,0.016933857,42.2693335,1549
06/12,97.28932991,0.021851787,36.21495186,1655
06/13,91.88750328,0.019482944,47.78408335,1526
06/14,68.91551163,0.033499333,47.25900297,817
06/15,83.23597747,0.018946492,39.81253426,1466
06/16,76.4936405,0.02102226,53.32320121,1210
06/17,62.8207792,0.027608648,48.54863874,779
06/18,68.06988732,0.027915121,53.46458881,781
06/19,79.8399306,0.019314778,51.09777151,1269
06/20,71.87311985,0.02966977,49.21746251,801
06/21,70.66996801,0.024276461,40.34717599,969
06/22,74.50762208,0.024623764,43.6626937,1114
06/23,75.53076484,0.035903791,44.48893751,910
06/24,78.93396352,0.03513029,42.63104663,932
06/25,78.38985524,0.017089517,50.11754941,1423
06/26,76.45838915,0.013572057,30.51965243,1697
06/27,73.94656487,0.022104473,40.35372939,1134
06/28,76.60751781,0.026570765,38.72323947,1264
06/29,61.48767751,0.033858636,45.49164349,1076
06/30,63.89540669,0.037083386,48.18780037,1077
07/01,60.96922234,0.035019035,44.00948177,913
07/02,65.06022782,0.037820603,43.41138317,992
07/03,64.39523824,0.031574882,45.86986908,999
07/04,70.04711788,0.028745358,40.07209653,1018
07/05,73.49253106,0.037626958,46.98508838,1143
07/06,68.97932908,0.041705614,44.60889958,1097
07/07,83.83541868,0.05317984,39.99406072,1199
07/08,79.89687891,0.047929322,43.84352371,958
07/09,78.86524135,0.044798096,45.30018403,1127
07/10,78.95236998,0.04770035,44.99806516,1146
07/11,82.25468213,0.041877938,41.32847634,1315
07/12,76.2393749,0.043935512,42.99562923,1275
07/13,82.04720208,0.047739221,46.8666292,1252
07/14,92.18691031,0.052731609,35.82186296,1416
07/15,84.64280471,0.046424766,43.93514571,1188
07/16,81.93378257,0.053717804,42.27404902,1067
07/17,92.85152614,0.049028652,43.34112137,1224
07/18,90.23298525,0.047959958,40.5594904,1288
07/19,91.47220374,0.052424258,42.68529312,1389
07/20,96.54480814,0.048162325,40.13103032,1303
07/21,107.4965298,0.038972434,37.9709579,2099
07/22,117.1142522,0.039295306,38.87307946,2201
07/23,126.6495109,0.048885019,34.54669085,2155
07/24,130.770001,0.057620368,33.31867938,2032
07/25,137.3163913,0.051237296,32.12007735,2065
07/26,145.200149,0.05923831,26.06489878,2228
07/27,141.7327472,0.050009528,29.37044382,2065
07/28,146.3028771,0.050371737,27.46552717,2351
07/29,148.074661,0.044824853,29.4710317,2514
07/30,130.7945092,0.03748387,34.92307715,3001
07/31,144.0451639,0.044891864,31.5731767,3252
08/01,151.6811826,0.046696464,28.98746943,3051
08/02,145.6945568,0.044553219,30.78592729,3529
08/03,170.175252,0.055693469,21.18096135,2937
08/04,171.7072338,0.060162946,21.20258719,3135
08/05,170.7319729,0.063641428,20.48589066,3103
08/06,164.9838995,0.068327001,21.82161114,3143
08/07,168.531287,0.065349233,20.68248519,3212
08/08,168.8756248,0.063819666,19.8696261,3318
08/09,163.2288075,0.062990535,24.31454659,4140
08/10,163.262652,0.065307505,22.05615721,3761
