date,rtt
2023-05-14,126.0817265
2023-05-15,113.9689947
2023-05-16,124.8769226
2023-05-17,118.5844931
2023-05-18,115.6861742
2023-05-19,122.2365559
2023-05-20,118.7510915
2023-05-21,120.108006
2023-05-22,114.926058
2023-05-23,114.2338923
2023-05-24,111.1106302
2023-05-25,116.4177332
2023-05-26,123.933561
2023-05-27,123.8800601
2023-05-28,117.2941504
2023-05-29,112.3940117
2023-05-30,111.0514677
2023-05-31,120.7950142
2023-06-01,126.4833031
2023-06-02,135.2364013
2023-06-03,137.0514498
2023-06-04,114.2431706
2023-06-05,116.1870657
2023-06-06,110.4532439
2023-06-07,82.78460803
2023-06-08,82.50910241
2023-06-09,76.86954672
2023-06-10,81.16480446
2023-06-11,81.17193673
2023-06-12,97.28932991
2023-06-13,91.88750328
2023-06-14,68.91551163
2023-06-15,83.23597747
2023-06-16,76.4936405
2023-06-17,62.8207792
2023-06-18,68.06988732
2023-06-19,79.8399306
2023-06-20,71.87311985
2023-06-21,70.66996801
2023-06-22,74.50762208
2023-06-23,75.53076484
2023-06-24,78.93396352
2023-06-25,78.38985524
2023-06-26,76.45838915
2023-06-27,73.94656487
2023-06-28,76.60751781
2023-06-29,61.48767751
2023-06-30,63.89540669
2023-07-01,60.96922234
2023-07-02,65.06022782
2023-07-03,64.39523824
2023-07-04,70.04711788
2023-07-05,73.49253106
2023-07-06,68.97932908
2023-07-07,83.83541868
2023-07-08,79.89687891
2023-07-09,78.86524135
2023-07-10,78.95236998
2023-07-11,82.25468213
2023-07-12,76.2393749
2023-07-13,82.04720208
2023-07-14,92.18691031
2023-07-15,84.64280471
2023-07-16,81.93378257
2023-07-17,92.85152614
2023-07-18,90.23298525
2023-07-19,91.47220374
2023-07-20,96.54480814
2023-07-21,107.4965298
2023-07-22,117.1142522
2023-07-23,126.6495109
2023-07-24,130.770001
2023-07-25,137.3163913
2023-07-26,145.200149
2023-07-27,141.7327472
2023-07-28,146.3028771
2023-07-29,148.074661
2023-07-30,130.7945092
2023-07-31,144.0451639
2023-08-01,151.6811826
2023-08-02,145.6945568
2023-08-03,170.175252
2023-08-04,171.7072338
2023-08-05,170.7319729
2023-08-06,164.9838995
2023-08-07,168.531287
2023-08-08,168.8756248
2023-08-09,163.2288075
2023-08-10,163.262652
2023-08-11,155.9130741
2023-08-12,156.2838215
2023-08-13,171.9721443
2023-08-14,169.8486331
2023-08-15,170.906373
2023-08-16,166.4777789
2023-08-17,167.5301569
2023-08-18,164.7451784
2023-08-19,170.3637769
2023-08-20,149.4594664
2023-08-21,157.653749
2023-08-22,163.859645
2023-08-23,158.3675809
2023-08-24,154.8747758
2023-08-25,150.5590114
2023-08-26,147.1504562
2023-08-27,146.9117505
2023-08-28,141.4238785
2023-08-29,138.0655444
2023-08-30,147.748629
2023-08-31,147.9717769
2023-09-01,153.5138496
2023-09-02,146.831411
2023-09-03,135.7273595
2023-09-04,139.6111773
2023-09-05,144.9663263
2023-09-06,142.4854656
2023-09-07,137.5491852
2023-09-08,142.7242216
2023-09-09,139.9063738
2023-09-10,137.7660133
2023-09-11,134.9846152
2023-09-12,118.0128856
