date,test
2022-08-08,744
2022-08-09,684
2022-08-10,692
2022-08-11,634
2022-08-12,654
2022-08-13,571
2022-08-14,703
2022-08-15,743
2022-08-16,731
2022-08-17,681
2022-08-18,695
2022-08-19,726
2022-08-20,913
2022-08-21,601
2022-08-22,852
2022-08-23,703
2022-08-24,653
2022-08-25,699
2022-08-26,757
2022-08-27,724
2022-08-28,773
2022-08-29,797
2022-08-30,734
2022-08-31,804
2022-09-01,729
2022-09-02,875
2022-09-03,736
2022-09-04,619
2022-09-05,640
2022-09-06,715
2022-09-07,803
2022-09-08,912
2022-09-09,762
2022-09-10,898
2022-09-11,905
2022-09-12,945
2022-09-13,972
2022-09-14,974
2022-09-15,1059
2022-09-16,967
2022-09-17,1000
2022-09-18,864
2022-09-19,1005
2022-09-20,1051
2022-09-21,990
2022-09-22,973
2022-09-23,906
2022-09-24,749
2022-09-25,882
2022-09-26,937
2022-09-27,929
2022-09-28,928
2022-09-29,802
2022-09-30,913
2022-10-01,862
2022-10-02,1020
2022-10-03,983
2022-10-04,966
2022-10-05,996
2022-10-06,986
2022-10-07,1084
2022-10-08,937
2022-10-09,1249
2022-10-10,1013
2022-10-11,902
2022-10-12,974
2022-10-13,842
2022-10-14,868
2022-10-15,807
2022-10-16,768
2022-10-17,898
2022-10-18,879
2022-10-19,953
2022-10-20,1000
2022-10-21,923
2022-10-22,832
2022-10-23,906
2022-10-24,869
2022-10-25,861
2022-10-26,933
2022-10-27,1083
2022-10-28,1072
2022-10-29,1057
2022-10-30,1131
2022-10-31,1229
2022-11-01,1263
2022-11-02,1028
2022-11-03,1108
2022-11-04,915
2022-11-05,870
2022-11-06,899
2022-11-07,1046
2022-11-08,1075
2022-11-09,964
2022-11-10,1021
2022-11-11,1004
2022-11-12,862
2022-11-13,932
2022-11-14,939
2022-11-15,955
2022-11-16,827
2022-11-17,980
2022-11-18,1152
2022-11-19,1063
2022-11-20,999
2022-11-21,961
2022-11-22,896
2022-11-23,686
2022-11-24,706
2022-11-25,804
2022-11-26,847
2022-11-27,971
2022-11-28,958
2022-11-29,969
2022-11-30,915
2022-12-01,1062
2022-12-02,1158
